Number of elements 912
     0 :  1.5321366e-15  5.2992136e-17 -3.6800758e-15
     1 : -6.4703682e-09  1.4598264e-08 -4.4755542e-10
     2 : -1.1412894e-01 -1.9713286e-02 -1.0901859e-01
     3 :  1.7519779e-11 -2.3892650e-11 -2.8760499e-11
     4 : -5.6676955e-02 -3.7629126e-02 -4.7842402e-02
     5 : -3.6659303e-02 -6.9748360e-03 -1.2849568e-01
     6 : -1.2110652e-24 -3.6350983e-24  6.2450361e-24
     7 :  5.4915585e-09 -5.6779529e-08  3.1751577e-08
     8 :  1.7163520e-07 -7.6250604e-08 -9.5921518e-08
     9 :  1.8493333e-22  5.5455780e-22 -9.2760981e-22
    10 :  7.2282714e-08  6.0370794e-08 -3.3005891e-07
    11 :  2.3540050e-26 -7.0416057e-25  6.2333608e-25
    12 : -5.7257777e-02 -2.2691500e+00  1.9723848e+00
    13 : -3.3300302e-06  1.4310967e-05 -2.3461794e-05
    14 : -2.8883175e-12  1.4058013e-12  1.6963784e-12
    15 :  2.2264031e-06 -1.9890038e-06  2.9918248e-06
    16 : -5.2686321e-26  7.2819156e-27  1.0839427e-25
    17 :  5.3751419e-18 -2.3561022e-18 -1.2351318e-17
    18 : -2.5303033e-07  1.0605388e-06 -1.1635050e-07
    19 : -1.9293753e-30  1.5265724e-30  1.9319204e-30
    20 : -7.7184715e-18  2.1423370e-17 -6.8496624e-18
    21 : -7.8852336e-05 -7.8954512e-05  1.3826745e-04
    22 : -6.4214163e-05 -4.5779170e-05  2.6151695e-05
    23 : -3.4886012e-28  2.4919151e-28 -6.1806933e-29
    24 :  1.4661633e-08 -4.2149521e-08  3.0442136e-09
    25 :  1.3187308e-29 -2.6331390e-29  5.5552671e-30
    26 :  2.3654804e-08  2.2648255e-08 -6.9710282e-09
    27 :  3.6180554e-05 -4.0860876e-05 -3.7341844e-05
    28 : -7.8846687e-06 -1.1149249e-05  4.6026301e-06
    29 : -1.1551945e-09 -4.1410260e-09  6.5750214e-09
    30 : -2.9004484e-07  7.8493984e-07 -6.6763842e-08
    31 : -7.7499963e-12  3.0472535e-11 -1.0133994e-11
    32 :  4.4374077e-24  1.2522602e-25 -6.1449205e-24
    33 :  1.3498699e-04 -1.2799359e-04  1.3720204e-04
    34 :  1.0931238e-31 -2.5666064e-31  1.1497125e-32
    35 :  2.2763209e-11  2.1773295e-11 -9.4215965e-11
    36 : -5.0543457e-02 -3.1447372e-02 -3.6478703e-02
    37 : -2.4664081e-03 -2.9932554e-03  2.3756004e-03
    38 : -3.2109656e-05  3.9609983e-05 -7.8509798e-06
    39 : -1.0805889e-09  3.7075096e-09 -3.0201586e-09
    40 :  2.9210581e-10 -3.5734790e-09  1.3688920e-09
    41 :  1.0679901e-05 -3.9091005e-05  8.7755121e-06
    42 :  8.6353794e-30 -3.6938522e-29  2.4908615e-29
    43 :  2.1296446e-16 -3.1823513e-16 -1.6056995e-16
    44 :  4.8039946e-04  1.3141569e-03 -1.5817358e-03
    45 : -6.8991289e-13  5.8683902e-14  6.1459638e-13
    46 :  1.4526954e-13 -2.4179246e-14 -2.2327766e-14
    47 : -4.7620018e-23  3.0057476e-23 -2.3213662e-23
    48 : -3.9869943e-26 -3.6456403e-25  1.3040999e-25
    49 :  8.6353232e-07 -2.8168365e-06  9.1484077e-07
    50 :  2.2730515e-04 -9.0210875e-06  8.7145139e-05
    51 :  3.6004470e-02  9.0308725e-02  1.1209537e-01
    52 :  3.9526538e-07 -2.1227188e-06  5.1027107e-07
    53 : -2.3755958e-24  2.8671889e-24 -3.6557147e-24
    54 :  4.2120037e-05 -3.2407300e-06  5.3082052e-05
    55 : -6.6657123e-06 -9.4009948e-07  6.5642479e-05
    56 : -1.8108993e-02 -1.0548606e-01 -5.5795407e-03
    57 :  4.4136353e-06  3.5322573e-07  1.5334486e-07
    58 : -1.5389230e-02  1.4655346e-01  8.6168177e-02
    59 : -6.5738206e-07 -4.9008431e-07  1.9197531e-07
    60 : -1.9030616e-04 -3.7995845e-05  3.7574722e-04
    61 :  3.7466023e-02 -3.1592704e-02  1.0867125e-01
    62 :  2.1290785e-08  4.1152296e-08 -1.8710908e-08
    63 : -7.4847193e-04 -2.3096002e-04  5.7469483e-04
    64 : -1.6054840e-08 -2.6150501e-08  7.0564738e-08
    65 : -2.6740723e-10 -1.3233349e-09  3.7090040e-10
    66 :  3.3542225e-11 -1.7933391e-10  6.8920563e-11
    67 : -5.0826243e-26 -7.3250001e-26  2.0862715e-25
    68 : -9.4124678e-25  2.5579788e-24 -3.3280771e-25
    69 : -7.3582083e-26  1.1479831e-25  6.1397153e-26
    70 : -5.6794293e-14 -2.0407308e-14  1.3861503e-13
    71 :  1.8556427e-03 -2.2460721e-03 -2.5684781e-03
    72 :  6.4426710e-27 -2.0576958e-26  6.5854660e-27
    73 :  3.4986017e-03 -4.8677698e-03 -5.3002326e-03
    74 : -6.0765688e-20 -3.7835321e-19  2.5961338e-19
    75 : -4.0231591e-19 -4.9018575e-19  4.1360738e-19
    76 : -2.7442016e-27  1.0831099e-26 -3.6269211e-27
    77 :  7.3973035e-20 -2.1541332e-19  2.1203462e-20
    78 :  9.6214299e-23 -3.4706823e-22  9.0120541e-23
    79 : -1.8419753e-16  1.5380135e-16 -1.9161132e-16
    80 :  2.6186418e-36  7.3026367e-36 -5.1197266e-36
    81 : -3.4933429e-24 -2.7752112e-22  1.3912028e-22
    82 : -2.2383628e-01 -1.6823453e+00  8.1569233e-01
    83 : -6.4619211e-31  8.5795941e-31  5.8510462e-31
    84 : -3.9479514e-29  1.0561152e-28 -2.5427803e-29
    85 : -1.8081800e-02 -8.7580518e-01  1.0913931e+00
    86 :  1.2520906e-17  4.4884798e-18 -2.3021328e-17
    87 :  2.3281859e-16 -3.1826255e-16 -2.1049123e-16
    88 :  8.4758514e-11  1.4447430e-10 -9.9721033e-11
    89 :  2.6862847e-03 -4.6611442e-03 -6.3413430e-03
    90 : -3.4570167e-28 -1.0098099e-27  6.5251678e-28
    91 : -8.9691547e-02 -1.4334922e-02 -3.7903544e-02
    92 : -2.3038256e-13  3.9715871e-13 -1.5911940e-13
    93 : -7.8037999e-35  1.4624541e-35  3.0280269e-35
    94 :  2.9508003e-15 -1.1014621e-15 -9.6609174e-16
    95 : -9.7061390e-26 -9.5076369e-27  1.2687809e-25
    96 :  7.1969661e-12 -1.9294089e-11  5.3606806e-11
    97 : -1.5312055e-13 -1.7643771e-12  2.0471310e-12
    98 : -2.7214600e-01  7.7932073e-04 -7.1845488e-02
    99 :  5.1282048e-23  1.7546956e-22 -1.0519483e-22
   100 :  4.7426951e-25  2.6944462e-24 -4.8355088e-24
   101 : -4.5526399e-10 -1.5485833e-10  2.4287429e-10
   102 :  6.2948399e-07  5.0157272e-07  2.0605935e-07
   103 :  2.3267897e-33  6.9824548e-33 -1.3733283e-32
   104 :  9.3455048e-14  1.7656394e-14 -3.7249720e-14
   105 : -2.0061854e-07 -2.0927598e-08 -6.3166710e-09
   106 : -2.0851112e-09 -5.4870855e-10  4.7856575e-09
   107 :  1.2246650e-09 -5.8805960e-10 -2.4488554e-09
   108 :  2.9626597e-09  1.7399917e-08 -6.2743406e-08
   109 :  8.5075027e-06 -2.4033319e-06  4.0202013e-06
   110 :  1.3159673e-03 -2.5207378e-03  1.2525874e-03
   111 : -3.3567286e-09  8.6240692e-09 -4.9472499e-12
   112 : -2.2349805e-22  1.0861106e-21 -5.6964257e-22
   113 :  7.1099761e-02  6.1967778e-02  7.1372746e-02
   114 : -5.8979196e-15 -2.1328152e-13  5.1856514e-13
   115 :  3.7973240e-06  8.8561294e-06  1.2744295e-07
   116 : -6.6331051e-04 -9.7737998e-04  5.1613088e-04
   117 : -9.2103806e-02 -8.4560801e-02 -1.3089428e-02
   118 : -4.1757509e-01 -8.4704396e-02 -1.0686759e-01
   119 : -3.3601628e-26  2.5696663e-27  3.4692658e-26
   120 :  4.5424899e-13  4.3291482e-13 -1.6955063e-12
   121 :  5.7490521e-20  2.4661758e-19 -2.5560259e-19
   122 : -5.2672885e-06 -1.2430793e-05  6.2923291e-06
   123 : -4.7914462e-32 -1.0550056e-31  1.6946754e-31
   124 : -8.9514946e-24 -5.0344985e-24  6.2371838e-24
   125 : -7.0397787e-35  2.0808225e-34 -6.5693386e-35
   126 : -6.0198942e-19  2.4770553e-17 -2.3337984e-17
   127 :  1.5997437e-19 -7.1355127e-19  3.3881924e-19
   128 :  3.5118321e-06  1.7330791e-06 -7.8886136e-06
   129 : -1.0017686e-15 -1.1252465e-15  3.9599278e-15
   130 :  4.7435705e-02  1.2069435e-01  9.9741788e-02
   131 :  4.9597778e-04 -1.3998229e-04 -3.3742123e-05
   132 :  6.7828352e-06 -3.1388066e-05 -4.7242022e-06
   133 : -3.0292276e-03 -1.3454023e-04 -5.9399663e-04
   134 : -4.5082702e-06  1.8627901e-06  8.1685239e-06
   135 :  9.0049360e-08 -6.4301600e-08 -3.2277347e-07
   136 : -2.2360673e-09  4.3155492e-09 -6.1990170e-10
   137 : -5.8707138e-07 -3.7234936e-07  1.6411483e-06
   138 : -1.0914667e-09 -6.3582746e-08  3.6271929e-08
   139 :  1.6626554e-08 -2.7225502e-08  6.6157960e-09
   140 :  4.9580415e-21 -3.5275584e-21 -5.3753436e-22
   141 :  7.0178666e-20 -1.0715760e-19 -5.7698428e-20
   142 :  4.3001973e-08 -2.0975016e-08  5.3819732e-08
   143 :  1.9653416e-27  2.7425481e-27 -1.1640394e-26
   144 : -1.2312762e-09  1.2925899e-09 -5.9438993e-10
   145 : -1.4030724e-11  5.2065547e-11 -1.5584841e-11
   146 : -1.4243395e-14  3.1171043e-14  1.1084636e-14
   147 : -5.0159480e-26 -1.5496608e-26  2.7457751e-26
