Number of elements 912
     0 :  1.4292512e-19 -9.1131009e-20 -2.0616517e-19
     1 :  1.2767370e-11 -1.7359593e-11 -7.6524554e-12
     2 : -2.1545904e-01  5.8442930e-03 -1.8550818e-01
     3 : -8.4427478e-15 -9.9891269e-15  2.3221091e-14
     4 :  3.9207029e-02  1.2723659e-01  1.0965399e-01
     5 :  4.9337192e-01  1.8756975e-01  1.0105971e-01
     6 : -3.2414340e-31 -3.0300417e-30  3.6915499e-30
     7 : -1.6498294e-11  6.5030849e-11 -2.1126795e-11
     8 : -1.9394019e-09  4.1726400e-09 -5.3233934e-10
     9 :  8.1171088e-28 -3.9632352e-29 -1.7002921e-27
    10 : -1.4100370e-09  6.0036871e-10  2.8496413e-09
    11 : -1.3332509e-30  1.5259718e-30  1.3551851e-30
    12 :  5.1707231e-01  1.6699505e-01  3.0194768e-01
    13 : -3.2041639e-07 -1.2905497e-07  3.6107539e-07
    14 :  1.8970045e-15 -2.4633435e-15 -7.2853343e-17
    15 :  4.5946037e-08 -8.9762452e-08 -3.4716082e-08
    16 : -8.4899136e-33 -7.7045290e-32  9.0175184e-32
    17 :  9.2669977e-23  3.4018395e-22 -5.2165410e-22
    18 :  3.9781159e-09 -1.1872420e-08  4.1426393e-09
    19 : -6.5818235e-38 -1.6324564e-38  8.5315452e-38
    20 : -9.8859482e-23  6.4843561e-22 -4.9508988e-22
    21 : -1.3063839e-06  4.4485584e-07  3.7108252e-06
    22 :  2.0952247e-06  1.0677459e-06 -9.8246610e-07
    23 : -2.1789257e-35 -1.2954999e-35  9.1253845e-35
    24 : -1.0763342e-10  2.6044907e-10  2.5977722e-11
    25 :  6.7707117e-37 -3.2308222e-36  1.0961525e-36
    26 : -8.3820715e-11 -4.7718698e-10  2.1876924e-10
    27 :  1.0361040e-07 -7.6881694e-07  2.2436647e-07
    28 : -2.4524650e-07  1.4173295e-06 -5.6049904e-07
    29 :  1.3730972e-12  1.6363333e-11 -1.8703803e-11
    30 : -4.1769177e-10 -1.4937837e-09  2.6047021e-09
    31 :  1.4496558e-14 -2.2768127e-14 -1.0339699e-14
    32 :  1.6171320e-29  1.7770562e-29 -5.1139748e-29
    33 :  9.2293703e-06 -2.1468037e-05 -3.7052948e-05
    34 :  2.2011584e-38 -1.6403743e-38 -2.8644360e-38
    35 : -1.3058404e-14 -3.6560111e-14  8.2186705e-14
    36 : -1.1753371e-01 -1.6304743e-01  7.3057409e-03
    37 :  3.1879749e-04  1.8038890e-04 -2.2289582e-04
    38 : -5.1303159e-07  2.2666985e-06 -6.1692419e-07
    39 : -1.2680338e-11  8.5189339e-12  2.8920518e-11
    40 : -8.1738311e-13 -4.1791923e-12  4.4468467e-13
    41 :  1.8713021e-07 -2.9672805e-07 -3.0570407e-07
    42 : -2.2248205e-36  1.9922258e-37  2.6719834e-36
    43 :  2.4314880e-20 -3.2992273e-20 -1.7831453e-20
    44 : -4.1210161e-06 -7.9527343e-05  6.0316880e-05
    45 : -3.8882648e-16  1.1659800e-16  1.3227032e-16
    46 :  8.3574996e-17 -7.6451033e-17  8.4975258e-17
    47 : -3.1614640e-29  2.0330237e-28 -3.9977833e-28
    48 : -2.7935525e-32 -3.3716021e-32  1.3901984e-32
    49 : -1.6998589e-08  2.8391784e-08  1.0921912e-08
    50 : -1.4280821e-05 -4.1303932e-05  1.2746798e-05
    51 :  1.1711611e-01 -3.6574239e-02 -9.0184429e-04
    52 :  8.5798667e-09 -2.0814242e-08  3.8466045e-09
    53 :  7.3811523e-30 -2.3861880e-30 -3.0631181e-30
    54 : -6.8045536e-07  6.5678777e-07 -3.7318645e-07
    55 :  4.0651831e-07  2.3218540e-08 -8.9752749e-08
    56 :  1.2592920e-01  1.7821065e-01  2.1511259e-01
    57 :  5.1904122e-08  1.1840339e-07 -3.1707033e-07
    58 :  1.1874454e-03 -1.8507086e-03 -2.8812281e-03
    59 :  2.4429997e-09  9.6742695e-09 -4.8784755e-09
    60 :  4.3158504e-06  2.6412907e-06 -6.0060521e-06
    61 : -1.1628817e-02  7.6407308e-03 -1.1006682e-02
    62 : -2.9280707e-10 -3.8036089e-10  2.7178786e-10
    63 : -6.7204624e-06 -7.3013686e-06 -7.0613684e-06
    64 :  2.7611305e-10 -2.9445260e-10 -2.7273990e-10
    65 :  6.6432321e-13  6.5293895e-13 -2.3046536e-13
    66 : -3.7276309e-14  1.5154593e-13 -4.5909993e-14
    67 : -5.8324716e-31  9.1895413e-32  1.1516048e-30
    68 : -2.5207567e-30  5.9047238e-30 -6.1981294e-31
    69 : -7.3120565e-31  6.4831304e-31  8.7691347e-31
    70 : -1.0312876e-16  2.6699486e-17  1.9829505e-16
    71 :  4.1072932e-05 -1.1205385e-04 -4.3354563e-05
    72 :  6.4771780e-33 -1.8530044e-32  5.1246127e-33
    73 : -1.9640977e-04  1.8041150e-04  9.9605719e-05
    74 :  3.7370221e-23  7.7648333e-23 -5.6280821e-23
