Number of elements 23380
     0 :  1.0827002e-38 -4.0426694e-38  1.4522646e-38
     1 : -1.2043214e-32  2.8981616e-33  9.2643046e-33
     2 : 8.5440978e-143 -5.8553346e-142 3.8794260e-142
     3 :  1.2993420e-85 -2.9995467e-85 -1.3305846e-85
     4 : 1.6555092e-141 -9.0591858e-143 -4.7160583e-141
     5 : -3.2243117e-86  1.4372273e-86  8.6772180e-86
     6 : -3.9893017e-23  2.2264447e-22  1.2892675e-22
     7 : -1.7210770e-42  1.2203409e-42  9.9579676e-42
     8 :  1.0723892e-41 -2.1747485e-41 -2.4051982e-42
     9 : -4.7726459e-36  1.1042936e-36  9.2957148e-36
    10 : -8.3044049e-10  3.5764984e-09  3.4675071e-09
    11 : -2.3699632e-36  2.3324041e-35  2.8222790e-35
    12 :  3.4703336e-24 -6.0018590e-24 -1.3458208e-23
    13 :  7.3102093e-29 -2.9852733e-29 -1.0154988e-29
    14 :  4.2377486e-16  2.1617538e-16 -1.3745677e-16
    15 : -9.2401096e-32  9.7319335e-32  1.5438021e-31
    16 :  5.2991779e-18  1.4167208e-17  2.2180243e-17
    17 : -1.6254398e-32  3.4505524e-32 -8.3427440e-33
    18 : -4.7442545e-58  1.1607762e-57 -2.1175668e-58
    19 : -3.8820283e-38  2.0709440e-38 -4.4523463e-38
    20 :  5.5804443e-11 -8.2115124e-12  5.2721891e-11
    21 : -1.3076148e-21  5.0330763e-22  4.2136910e-22
    22 : -1.5892800e-125 -1.1199991e-125 3.9445966e-125
    23 :  1.3395239e-10 -9.6884968e-11  3.7250929e-10
    24 : -7.4729350e-102 8.4771010e-102 -1.1513623e-101
    25 :  1.4510298e-11 -3.1743322e-11 -7.0441002e-11
    26 :  1.4682914e-22 -1.6976816e-22 -1.0276541e-23
    27 : -1.0881480e-15  2.9433698e-15 -7.8658102e-16
    28 : -6.4921273e-02 -5.2512371e-02 -6.5685835e-02
    29 :  1.6541763e-29  3.3025940e-29  2.4923465e-29
    30 :  3.5824027e-12 -5.8861385e-13  4.9470928e-13
    31 : -2.5774104e-92 -2.3158300e-92  9.8950606e-92
    32 : -2.8330172e-24  4.5943061e-24  1.2695141e-24
    33 : -2.3729725e-14  2.1806550e-14 -6.0860629e-15
    34 :  2.9584305e-41 -2.8259401e-41  1.2496512e-40
    35 : -4.1252475e-15 -9.1241543e-16  1.5356254e-16
    36 : -1.2771605e-39  4.5529435e-40 -1.7590825e-40
    37 :  6.4655432e-31 -9.1595208e-31  1.9874060e-30
    38 :  2.3701285e-13 -1.2554177e-13  5.1530233e-14
    39 : -2.5225863e-25  1.0457829e-26 -1.6277810e-25
    40 : -2.1139364e-121 -6.1102614e-122 5.4315044e-121
    41 :  1.0245206e-01  4.0448465e-02  7.7360883e-02
    42 : -6.2795282e-41  2.9762594e-40 -1.2780692e-40
    43 : -5.2671327e-14 -3.0107861e-14 -3.5578456e-14
    44 : -1.5486366e-06 -6.0634717e-07  1.1224423e-06
    45 :  1.5989258e-01  1.4234837e-01  1.3441305e-01
    46 : -3.2089793e-37  9.9689514e-37 -3.1394848e-37
    47 :  3.8366098e-42  3.0558268e-41 -1.2445054e-41
    48 : -2.5263228e-21  2.9389503e-22 -1.6586097e-21
    49 : -1.2301751e-01 -9.4944780e-02 -8.6847268e-02
    50 : -7.4441211e-16 -6.2679212e-15  1.1074505e-15
    51 : -1.1724702e-39  8.2919134e-40 -1.6105106e-39
    52 : -3.1718830e-02 -3.1418803e-02 -3.5291295e-02
    53 :  5.7519201e-87  1.9106793e-87 -9.4853925e-87
    54 : -2.3106935e-43  6.8051030e-45  1.6916568e-43
    55 :  5.8877856e-26  2.4817504e-27  5.2913838e-26
    56 : -5.6020872e-50 -1.7374688e-49  4.1289848e-49
    57 :  2.0146244e-17  8.2002315e-18 -6.2672151e-19
    58 : -1.2153509e-14 -2.2244762e-14  3.2348359e-15
    59 : -2.0621089e-57 -2.2955641e-57  1.9072997e-57
    60 : -4.6392896e-37 -2.9657174e-36  9.1144465e-36
    61 :  1.2279234e-39 -7.1982678e-40  5.7623692e-40
    62 :  5.7177604e-15  1.2311558e-15 -7.1167532e-15
    63 :  6.9302642e-09  6.9222882e-09 -1.9245265e-08
    64 :  1.6140136e-09 -1.4329070e-09 -2.8881410e-09
    65 :  2.9269022e-77 -7.4141804e-77  2.2286728e-77
    66 :  3.6085670e-35  3.3400502e-35 -2.8678180e-35
    67 : -7.8303624e-02 -4.5657765e-02 -3.3947202e-02
    68 : -2.9263009e-22 -1.3339045e-23  1.3392181e-22
    69 :  2.0606158e-16 -8.4585671e-17  9.3977627e-17
    70 :  2.2923720e-06  1.8840632e-06  3.0496484e-07
    71 : -5.4826734e-02 -6.3125617e-02 -6.3839358e-02
    72 : -1.0409116e-54  3.8797867e-54 -1.8089111e-54
    73 :  2.6932308e-47 -4.2202088e-48 -6.4863572e-47
    74 : -2.8545363e-39  1.2109086e-39 -8.3837873e-40
    75 :  2.6542230e-17 -2.9808941e-16 -3.2029655e-18
    76 : -1.2099587e-01 -8.4427409e-02 -1.2924542e-01
    77 :  5.2819948e-39  1.6604398e-39 -1.7859997e-39
    78 : -6.1628480e-33 -1.1841899e-32  2.0600700e-32
    79 : -3.9541990e-25  2.4035560e-24  2.6721241e-24
    80 : -1.6502810e-95 -4.6756820e-96  2.2461183e-95
    81 : -1.6427883e-27  8.1240574e-28  6.9197222e-28
    82 : -8.9318135e-39  9.0038303e-39 -1.2712232e-38
    83 : -2.0926844e-28 -1.0685449e-28  8.2479920e-30
    84 : -9.0018027e-48  1.2008784e-47 -8.7394909e-49
    85 : -1.9226053e-05  5.6274731e-05  1.4278122e-05
    86 :  2.2707643e-11  2.1610787e-11  7.3403339e-13
    87 :  6.7819852e-55  2.4064929e-54 -1.3663094e-54
    88 : -1.7701606e-54 -1.3717028e-54  6.6575941e-54
    89 :  1.4630284e-11 -5.6540141e-12  9.7869745e-12
    90 :  9.9048339e-05  7.2669484e-05  7.1291915e-05
    91 :  4.9106170e-08  4.1080956e-08  1.0916455e-07
    92 : -4.4159654e-28 -2.6338803e-28 -6.5719983e-28
    93 : -1.7831427e-29 -1.8263179e-28  1.0759528e-28
    94 :  4.7425240e-13  4.4733370e-12 -1.5508661e-11
    95 :  5.1191949e-19  1.4649683e-18 -5.6440409e-19
    96 : -1.9264083e-22  7.0280458e-22  1.2632054e-22
    97 :  7.0273153e-24 -3.1491925e-24  1.8041562e-25
    98 :  3.1017736e-29 -1.3625061e-28  4.7475265e-29
    99 :  2.2974062e-57  5.3456809e-57 -3.5924722e-57
   100 :  1.4349313e-88 -1.5486467e-88  2.9307323e-90
   101 :  2.8560599e-07 -1.2076331e-06  3.7426324e-07
   102 : -1.8315383e-48 -5.6037569e-48  5.3868086e-48
   103 : -5.5051199e-47 -1.0454953e-45 -7.4295502e-46
   104 : -4.0738756e-08 -1.1120404e-08 -5.4810725e-08
   105 : -6.5046632e-59  1.8046712e-57 -4.1715659e-57
   106 : 5.5204027e-117 -2.9259798e-117 1.0194509e-117
   107 : -1.2302624e-24  1.1449509e-23 -5.3804343e-24
   108 : 1.0219292e-116 1.2844697e-117 -1.4307271e-116
   109 :  8.2590156e-14 -1.2590194e-12 -9.7771156e-13
   110 : -8.2148749e-83  4.7543281e-83  8.6641458e-84
   111 :  1.3136531e-14 -2.5159399e-14 -1.8944059e-14
   112 :  2.2660221e-02  3.2741141e-02  5.4900338e-03
   113 : -1.5909225e-16 -3.1357086e-16  8.3960753e-16
   114 : -5.9898081e-116 9.8063718e-116 -1.5637745e-115
