Number of elements 23380
     0 :  5.7469023e-35 -2.2874601e-34  3.7035539e-35
     1 :  9.6733924e-29 -4.9754682e-29 -1.3706645e-29
     2 : 1.1764713e-132 -5.5520638e-131 4.5261317e-131
     3 :  7.0456490e-79 -2.4630728e-78 -1.0435403e-78
     4 : 1.0008125e-130 4.8204164e-131 -3.9066104e-130
     5 : -3.2188523e-79  8.7911285e-79  2.2305993e-79
     6 : -7.4787769e-21  3.1357564e-20  7.1585694e-20
     7 : -3.1068203e-37  1.2577505e-37  1.1208498e-37
     8 : -4.2462108e-37  1.1301395e-36  1.5038862e-37
     9 :  4.7445455e-33 -1.8984081e-32 -2.0188340e-33
    10 : -1.0576519e-07 -6.6410912e-08  3.2945058e-07
    11 :  3.1218178e-32 -8.7821766e-32 -9.9018609e-32
    12 :  2.4303644e-21  1.3071370e-20 -9.5702200e-21
    13 :  1.1815910e-25 -2.5644425e-26 -1.0991856e-26
    14 :  5.4631181e-14  3.6268837e-14 -1.3550786e-14
    15 : -8.9855459e-29  7.2186766e-29  1.2062710e-28
    16 :  1.5637540e-15  2.5613596e-15  3.0324305e-15
    17 : -1.2990374e-29  1.0895624e-29 -1.8864525e-30
    18 :  1.2602333e-53 -3.9235779e-53  4.3521165e-54
    19 : -1.3280115e-34 -2.5048518e-35 -1.6196139e-34
    20 :  4.9474333e-09  4.2143222e-10  4.6891653e-09
    21 : -4.4052669e-19  1.8175033e-19  2.5986766e-20
    22 : -1.4036186e-115 -1.1468056e-115 3.8702622e-115
    23 : -3.2973484e-09 -4.8340020e-09  4.2197868e-09
    24 :  4.9470930e-94 -6.0685155e-94  7.6205349e-94
    25 :  1.3054663e-09 -2.5838043e-10 -2.2719462e-09
    26 :  1.7547373e-19 -9.1219252e-20  2.0825557e-20
    27 :  4.1190477e-13 -5.3475517e-13 -3.2384871e-13
    28 : -9.2076975e-02 -1.0609768e-01 -1.0625162e-01
    29 : -1.3083879e-25  1.0570257e-26  4.7739792e-26
    30 :  3.9380235e-10  5.4335506e-11  1.6816270e-10
    31 :  3.5279721e-84 -7.9070910e-85 -9.2321400e-84
    32 : -1.4714243e-22 -1.8071282e-23 -3.2621443e-22
    33 : -3.6063709e-12 -1.8692811e-12 -2.7788195e-12
