Number of elements 14133
     0 : -5.1016902e-56 -1.5154129e-55  2.6336158e-55
     1 : -3.4352294e-55  5.9243512e-55  8.1205694e-55
     2 :  1.1701436e-29 -4.3855737e-31 -5.4206205e-30
     3 :  2.5043701e-60  3.2017452e-60 -9.4088530e-60
     4 :  3.2960652e-22 -2.5113558e-22 -4.7617622e-22
     5 :  4.1868793e-33  3.1658241e-33 -1.2985440e-32
     6 :  2.5244296e-55  6.4738326e-55 -3.0650439e-55
     7 : -2.8757118e-21  8.5569644e-22 -3.3914711e-22
     8 : -1.0150446e-15  1.2432163e-16  2.0901177e-15
     9 : -3.9904837e-51  1.0993738e-50 -2.1784124e-52
    10 :  5.1339016e-63  7.0181764e-62  2.1507187e-61
    11 :  2.4849326e-22 -4.7427644e-22  6.2194540e-23
    12 : -3.1114254e-21 -2.4884997e-21  6.2118822e-21
    13 : -3.4513223e-21 -5.4763982e-23  9.1734742e-22
    14 :  6.4283233e-67  1.2478052e-67 -1.4379280e-66
    15 : -9.6858928e-91 -1.3954776e-89  2.9735981e-89
    16 :  2.3839213e-11 -2.5642299e-10  7.6502016e-11
    17 : -1.9479166e-11  4.6879397e-11  5.7321700e-11
    18 : -3.9707252e-86  1.6479227e-86  7.7226923e-87
    19 : -1.2781044e-17 -4.1036314e-17 -5.5983359e-17
    20 :  3.3051514e-02  4.2143766e-02  1.0458444e-01
    21 : -4.3141552e-37 -3.9957863e-37  1.6970449e-37
    22 : -3.8923647e-12 -7.2700875e-12  9.6595600e-12
    23 : -3.8196315e-01 -6.7921558e-02 -1.3282985e-01
    24 : -8.7186909e-121 -4.4999627e-121 6.5682832e-121
    25 :  5.1668937e-56  6.0991645e-55 -3.0204025e-55
    26 :  7.5319786e-12 -2.5083675e-12 -1.7280691e-12
    27 : -1.4423575e-23  2.4855942e-24 -1.6947654e-23
    28 : 3.5972900e-105 -2.9293003e-104 1.2759343e-104
    29 :  1.0797373e-01  6.9315914e-02  8.8923001e-02
    30 : -2.2325425e-21  7.6086392e-22 -5.6512564e-21
    31 : 4.8274031e-144 -8.6586883e-144 4.3906343e-144
    32 : -8.9156770e-34 -1.2508679e-33  1.0276104e-33
    33 : -4.3644811e-178 1.1454815e-178 1.5984380e-178
    34 : -5.8348840e-176 5.2426674e-176 -5.0427746e-176
    35 : 7.4238439e-111 -2.2423665e-111 -1.3097019e-110
    36 :  6.2654987e-01 -2.8682182e-02  7.8292517e-01
    37 : -2.6774845e-09  2.5362829e-09 -1.9673884e-09
    38 : -1.6751411e-100  2.4262811e-99 -1.5621086e-99
    39 : -2.9926733e-80  1.6148586e-80  4.4210067e-80
    40 : -5.3439545e-84 -2.5042894e-86  2.5014131e-84
    41 :  2.4104322e-16 -3.5302220e-17 -1.0590692e-16
    42 :  7.9907585e-02  6.2808692e-02  5.0846425e-02
    43 : 4.4058400e-111 3.3782649e-111 -3.7402251e-111
    44 : -1.9592747e-99  3.3225229e-99 -6.8492844e-100
    45 :  9.0167376e-85 -8.5916850e-86 -6.1424534e-85
    46 :  1.4026342e-01  7.2995762e-02  3.4717002e-02
    47 :  2.6114392e-39 -1.9305701e-39  2.0803260e-39
    48 : -5.6084643e-47  5.3948345e-47  6.9518237e-47
    49 :  1.6266607e-25 -2.4281316e-25 -3.1693736e-26
    50 : -2.4967006e-03  1.0259495e+00  8.1617859e-01
    51 : -3.8858393e-03  1.3509495e-01  1.6270535e-01
    52 : -9.0594844e-33  1.6156351e-31 -1.2923881e-31
    53 : -6.9073266e-35  1.2488571e-35  2.3274117e-35
    54 : 9.7564170e-144 3.7773856e-145 -1.5244776e-143
    55 : -1.2324792e-49 -7.3341948e-49  4.1973697e-49
    56 : -5.7458506e-31  3.1937350e-31  2.3545065e-31
    57 : -1.8344588e-157 2.3994991e-157 1.8492371e-158
    58 :  5.5532317e-64 -7.4328011e-64 -4.0262834e-64
    59 : -1.1459258e-18  3.5893966e-19  9.3460084e-19
    60 :  1.5229105e-36  1.6857580e-36 -4.9736182e-36
    61 : -9.3522947e-61 -3.7945623e-61  2.3574612e-60
    62 : -7.9756189e-50  2.6675880e-49 -7.5653664e-50
    63 : -4.0685593e-157 3.1585103e-157 4.5564846e-158
    64 : 9.7868357e-174 -9.6530788e-174 -2.7297833e-174
    65 : -7.5653684e-46  6.6724596e-46  5.1829635e-46
    66 : 5.0198360e-163 -1.1141146e-163 -1.7132060e-163
    67 :  2.0790706e-31  1.3763198e-31 -1.1072801e-31
    68 : -9.2209061e-18  1.1883146e-17  1.4623912e-17
    69 :  5.3212042e-07 -1.5134708e-06  8.3117405e-07
    70 : -3.4991160e-17  6.8038983e-18  1.7834332e-17
    71 : -7.6415423e-133 4.8909876e-134 2.1424973e-132
    72 : -9.0129295e-57 -5.6642038e-57  2.5315274e-56
    73 :  1.1038670e-38 -5.0910632e-39 -3.4933709e-39
    74 :  3.9439036e-33  1.1237223e-32 -5.6152225e-33
    75 : 1.7900802e-155 7.4022257e-156 -1.2460915e-155
    76 : -1.4787698e-180 1.6797075e-180 1.3001366e-180
    77 :  1.0612275e-01  1.2246849e-01  1.1108377e-01
    78 :  5.2191984e-78 -6.6716865e-78  8.5674755e-78
    79 : -8.7183441e-18  6.7681714e-18  1.9191276e-17
    80 : -1.4608293e-08  1.2483010e-08 -2.7508145e-08
    81 : -3.2081606e-168 5.4264143e-168 1.0795204e-168
    82 : -2.2091440e-109 7.6382070e-110 1.0979361e-109
    83 :  1.5580871e-49 -1.4951401e-49 -1.9425440e-49
    84 :  3.1212364e-14  2.7828777e-13  1.0548995e-13
    85 : 1.8440536e-115 -2.3343763e-115 -1.4696391e-115
    86 : -2.3487551e-17  3.5822149e-17  4.9989035e-17
    87 : -1.3176719e-85 -4.2095641e-85  5.4528756e-85
    88 : -4.9685106e-26  3.1181185e-26  9.5744998e-27
    89 : -6.7954833e-89  4.4629405e-88 -1.8540747e-88
    90 :  2.1203218e-58 -8.9418428e-58  3.1085757e-58
    91 : -5.7969138e-13 -5.7234351e-13  3.4084820e-13
    92 : -1.1661336e-59  6.4985184e-58 -6.2254830e-58
    93 :  1.9313185e-42  1.1393122e-42 -3.9740187e-42
    94 : -1.1151279e-126 2.8418943e-126 -8.2816884e-127
    95 : 2.2650453e-133 -3.2703243e-133 -8.5138119e-134
    96 :  1.7286576e-23 -8.1156501e-24 -2.1491898e-23
    97 : -1.9172936e-34 -2.5298218e-34  1.4134174e-34
    98 : -5.2590380e-22  2.7684415e-22  9.3563170e-22
    99 : -4.2877716e-37 -1.8556793e-37  9.5352072e-37
   100 : -1.6094559e-110 1.6923904e-110 -1.8584331e-110
   101 : -2.3862518e-35  8.3522938e-36  2.0636572e-35
   102 : -6.4702755e-54  1.2701906e-53 -2.8442995e-54
   103 :  6.4406717e-75  7.3845966e-75 -6.5042405e-75
   104 : -1.1359899e-13  7.3271017e-14  2.1498741e-13
   105 : 1.2516539e-101 5.8906276e-102 -3.2048539e-101
   106 : 7.7696234e-122 -1.1970521e-120 8.2561477e-121
   107 : -1.5097879e-24  3.5161123e-24  3.0516086e-24
   108 :  2.3882302e-20 -9.9320845e-21 -5.9715152e-21
   109 : -3.4680438e-134 2.3495063e-134 5.6385662e-135
   110 : -9.2669616e-21 -3.9477813e-21  2.5562316e-20
   111 : -6.2975136e-70 -2.5439098e-70  4.0899765e-70
   112 : -1.6687543e-69  1.5692859e-69  1.9417930e-69
   113 :  8.0455265e-58 -1.1016700e-56  1.9589886e-56
   114 :  1.4277570e-87 -1.2757111e-88 -5.1111788e-88
   115 : -1.7782584e-12 -2.6359912e-12  1.3530953e-12
   116 :  5.9953251e-46 -3.2734179e-47 -2.6548133e-46
   117 :  6.2515048e-70 -2.3074866e-70 -2.3603532e-70
   118 : -3.4292890e-18  8.5390730e-18  2.1894611e-18
   119 : -5.5125581e-80  1.2621891e-79 -3.4149252e-80
   120 : -1.4571599e-59  1.4420195e-60  5.1273657e-60
   121 : -4.7248195e-03 -1.1111451e-02 -1.3709627e-02
   122 : -4.4510980e-11  1.2066764e-11  1.2984021e-11
   123 :  3.5684814e-37 -1.3412372e-36  1.6387653e-38
   124 : -6.2732390e-116 1.9032272e-115 -6.2212919e-116
   125 : -4.9209150e-74  1.0350835e-73 -2.3470883e-74
   126 : -1.2475271e-05 -6.1278626e-07  7.3105328e-06
   127 :  1.3707348e-24 -2.3747497e-24  3.7242425e-25
   128 : 5.2532147e-114 -6.1384727e-114 4.1237659e-115
   129 : -1.7209393e-05  1.4748406e-05  4.6823759e-05
   130 :  2.1451485e-94 -2.3748243e-94 -1.9287007e-94
   131 :  6.8464257e-32  4.3233363e-31 -1.4658649e-31
   132 : -4.0930544e-06 -3.3971038e-06 -2.3760901e-06
   133 : -4.9265875e-18  1.5414074e-17 -2.5930996e-17
   134 :  2.8535047e-16  1.1468121e-16 -1.3947606e-17
   135 :  8.4494625e-14  7.1789083e-14 -4.9449727e-13
   136 : -4.2627383e-62  3.2052960e-62 -2.3086132e-62
   137 : -1.8973116e-10  5.2877759e-11  2.1277301e-12
   138 :  5.2764233e-39 -5.1270944e-39  6.7395121e-39
   139 : -2.0573771e-31  4.6767232e-31 -1.2112500e-31
   140 : -1.5686274e-06 -2.9636001e-06 -4.2829009e-06
   141 :  1.7811523e-15  2.8680552e-17  1.3145132e-16
   142 :  9.3172149e-60 -2.2327122e-59  2.4209155e-60
   143 :  4.7222382e-71 -1.5786606e-70  5.0434058e-71
   144 : -1.6383115e-125 -2.0836797e-126 2.2056198e-125
   145 : -4.2809600e-98  1.0350714e-98  2.1431646e-98
   146 : -7.7398713e-181 -2.2172676e-180 1.4910474e-180
   147 :  3.6759791e-31 -1.3348336e-31 -4.0109052e-32
   148 :  1.3351778e-10  1.7921335e-10  1.5360752e-09
   149 : 2.5090651e-154 6.7743024e-153 -3.4976774e-153
   150 : -2.4040502e-21  5.8132304e-21 -3.3459858e-22
   151 :  3.4516763e-28  1.4352657e-28 -1.1938310e-28
   152 :  3.4498519e-84 -1.8741603e-84 -5.2392680e-84
   153 :  9.7724052e-28 -3.5249511e-27  4.0244126e-27
   154 : 8.4580791e-161 2.0624755e-161 -1.3273222e-160
   155 : -5.1474143e-23  1.7012616e-23  1.2489671e-22
   156 : 9.8213251e-113 -7.6493999e-113 -1.1322904e-113
   157 : -6.5331248e-144 -5.9647492e-144 6.2270262e-144
   158 : 1.2612280e-150 1.6477529e-150 -4.5690928e-150
   159 : -2.0205436e-39  6.4918525e-39 -1.9565827e-39
   160 :  1.7067744e-41 -7.8761385e-41  3.1588962e-41
   161 :  1.6130273e-73  4.9039251e-73 -3.0860890e-73
   162 : -5.3213632e-13  7.4250778e-11  8.6530249e-11
   163 : -2.2428055e-16 -2.6172390e-14 -9.9885275e-15
   164 : -8.1865931e-13  4.4229590e-14  1.3826660e-13
   165 :  1.4040642e-22 -1.1366177e-21  3.5693853e-22
   166 :  4.7399876e-02  4.6623293e-02  2.4223614e-02
   167 : -3.2187543e-25 -3.3951346e-26  9.2274049e-26
   168 :  1.0199374e-43 -9.1884365e-44  1.0289193e-43
