Number of elements 912
     0 : -2.5508607e-14  7.9149285e-15  4.6649155e-14
     1 :  3.0932063e-08 -5.8391653e-08 -3.9414404e-09
     2 : -2.6047087e-01 -1.5124206e-01 -1.6684093e-01
     3 : -3.3008503e-10  1.2221111e-10  5.8398815e-10
     4 : -5.1533172e-02 -3.1202655e-02 -3.3688408e-04
     5 : -2.6872193e-01 -1.1320158e-01 -7.7788754e-02
     6 : -1.2386137e-22 -2.3334906e-22  5.0862377e-22
     7 : -8.8855147e-08  8.3384812e-08  2.2504497e-08
     8 :  1.4939872e-06  2.5706131e-06 -1.2635490e-06
     9 :  8.2025938e-21  2.9913199e-20 -4.5976972e-20
    10 : -8.7866535e-07  4.0594360e-06 -1.5771742e-06
    11 :  4.4797959e-23 -1.1708141e-22  4.8034490e-24
    12 : -1.8760767e-01 -1.6526668e+00  1.2876046e+00
    13 : -9.6813248e-05  2.5850513e-05 -4.9768269e-05
    14 :  1.1641725e-11 -5.5478899e-11  1.1451247e-11
    15 :  8.9322825e-06 -3.8913165e-05 -3.7068365e-05
    16 : -4.5083672e-24  6.2610229e-24  4.8582617e-24
    17 :  9.0992875e-17 -7.6268917e-19 -2.9644906e-16
    18 :  2.7449456e-06 -8.8995293e-06  1.8991440e-06
    19 : -4.0085858e-28  4.8462675e-28  4.1919936e-28
    20 :  7.5084582e-17 -2.3389189e-16  7.4381270e-17
    21 :  8.4730805e-05  4.4740268e-04  5.0804942e-04
    22 :  2.0333796e-04 -2.2211467e-05 -1.0441957e-04
    23 : -4.7677039e-26  4.6245912e-26 -6.1146441e-26
    24 : -3.9320434e-08  1.4492547e-07 -1.9102404e-07
    25 :  2.7550600e-27 -4.8297479e-27  1.0077669e-27
    26 : -4.7225222e-08 -3.4865125e-07  1.3903806e-07
    27 : -8.3891905e-05 -4.3883184e-05  1.5900045e-04
    28 : -1.6364841e-05  1.4089102e-04 -7.5293995e-05
    29 : -6.4887419e-09  8.7119135e-10  2.4755280e-08
    30 :  1.1327372e-06 -4.5019332e-06  1.7169344e-06
    31 :  8.2988893e-11 -3.4265830e-11 -1.2411395e-10
    32 : -2.7789689e-22 -6.2376452e-22  1.4612291e-21
    33 :  4.0582309e-04 -1.5383875e-03 -8.8419169e-04
    34 :  1.3625765e-29 -9.5432197e-29  5.7736352e-29
    35 : -1.0206124e-10  4.1047079e-11  7.6604925e-12
    36 : -7.1993274e-02 -1.2524438e-01 -2.0318058e-02
    37 : -1.0873313e-02 -6.6669240e-03  2.8855774e-05
    38 :  9.8809292e-06  5.8722498e-04 -1.9701409e-04
    39 : -1.2797644e-08  1.4848101e-08  3.5979288e-08
    40 : -8.6027919e-09  1.7592499e-08 -1.2442861e-08
    41 : -1.3207595e-05 -1.8846749e-05 -6.1119703e-05
    42 :  3.6623845e-27 -8.1921799e-27  3.7099212e-27
    43 : -2.0588177e-15  2.0856266e-15  2.3919289e-15
    44 :  8.7716280e-04  5.8976994e-04 -6.6602040e-03
    45 : -2.8152499e-12  2.0226292e-12 -1.9155795e-12
    46 : -5.4621512e-12  3.2014085e-12 -2.5586476e-12
    47 : -1.3525980e-21 -1.8477815e-21  5.2315193e-21
    48 : -4.5706487e-24 -3.5996020e-23  1.1934514e-23
    49 :  3.5889732e-06 -1.9953377e-05  7.7216042e-06
    50 : -4.8308735e-04 -1.5895739e-03  4.8388024e-04
    51 : -5.2556915e-02  9.9646487e-02  5.5433447e-02
    52 :  2.6149071e-06 -6.5226456e-07 -5.5905281e-07
    53 : -4.6178045e-22  3.0131964e-22 -1.6867192e-22
    54 :  9.5845859e-06  1.2401617e-04 -1.8034229e-04
    55 :  7.8209517e-05  6.2557342e-05 -3.4006141e-05
    56 : -5.8220296e-02 -1.2409091e-01 -1.3705718e-01
    57 :  4.8150915e-06  2.7133202e-05 -8.8269728e-05
    58 :  3.3551408e-02  3.9638714e-02  3.1222311e-01
    59 :  2.6153172e-06  5.0027008e-06 -2.2699712e-06
    60 : -1.4472707e-04  7.2766248e-04  9.1014339e-04
    61 :  7.8012795e-02  3.3332131e-02  1.1663945e-01
    62 : -3.9427967e-07 -1.5744384e-07  2.2753075e-07
    63 : -3.4964336e-03 -3.0395841e-03  1.0090754e-03
    64 :  2.9496952e-07 -2.9488331e-07 -3.8326534e-07
    65 : -2.6849935e-09  1.7422636e-08 -6.6589113e-09
    66 : -4.9168594e-11 -2.1268429e-10  5.4386341e-11
    67 :  4.6654834e-23 -3.2002546e-23 -7.3880098e-23
    68 : -1.6062774e-23  4.8934446e-23 -8.1757577e-24
    69 :  5.8986578e-23 -5.0342180e-23 -7.7932351e-23
    70 : -7.4650097e-13  9.3679543e-13  9.8370244e-13
    71 : -1.7408988e-03 -3.8774524e-03 -2.7632301e-03
    72 :  2.5418938e-25 -8.7258248e-25  2.8384216e-25
    73 : -2.2037593e-03 -5.6390067e-03 -8.1203967e-03
    74 : -1.2135909e-17 -1.0211996e-17  8.9441510e-18
    75 : -2.3721451e-18 -9.9320340e-18  6.2606181e-18
    76 : -4.2863536e-25  8.3528131e-25 -2.1329306e-25
    77 :  9.2020141e-19 -3.3992766e-18  5.6950682e-19
    78 :  5.2635303e-21 -2.0570000e-20  4.8560633e-21
    79 : -3.6640642e-15  2.4156296e-15 -3.6068608e-15
    80 : -4.2695556e-34 -1.4758941e-33  7.2256754e-34
    81 : -2.3649083e-22 -1.0776771e-21  5.2429177e-22
    82 : -2.6319882e-01 -8.9506510e-01 -2.6059838e-01
    83 : -1.7753751e-28  2.4941275e-28  1.6414294e-28
    84 : -7.1250183e-28  1.3431318e-27 -1.8184610e-28
    85 : -1.9921703e-01 -1.1803117e+00  1.0023549e+00
    86 :  5.1464594e-17  1.1879509e-16 -3.3756859e-16
    87 : -2.6672561e-16 -1.8671932e-15  1.9620904e-15
    88 : -1.3002657e-09 -1.2826260e-09  1.2305063e-09
    89 :  4.2767724e-02 -4.4143313e-03 -1.5882667e-02
    90 :  8.8029575e-26  2.3196207e-25 -1.5604940e-25
    91 : -7.9734527e-02 -6.6268975e-02 -2.4992994e-02
    92 : -4.8733059e-12  7.0492577e-12 -2.8082526e-12
    93 :  1.6921583e-32 -1.6306088e-33 -9.5689566e-33
    94 :  5.9634506e-15  5.8036209e-15 -8.5126768e-15
    95 : -3.4104363e-23  8.6771023e-24  1.6679732e-23
    96 : -2.3196564e-10  3.9672164e-10 -5.7265098e-10
    97 :  1.2537167e-11 -8.1587807e-12 -1.7402383e-11
