Number of elements 912
     0 :  2.6938406e-22  4.3716388e-22 -3.5316087e-22
     1 :  1.4920573e-13  1.0796351e-13 -1.2818127e-13
     2 :  8.7856750e+04  1.0450310e+05 -8.1842212e+04
     3 : -2.0633337e-13 -2.0475855e-13  2.0533153e-13
     4 : -5.5452757e+04  6.8809315e+04 -1.6620959e+04
     5 :  9.6113048e+06  5.0728034e+05 -4.9387836e+06
     6 : -1.2624062e-35  3.5332475e-35 -1.1351020e-35
     7 :  1.7370152e-13  1.0736451e-13 -1.4047196e-13
     8 : -2.0804198e-09 -4.1047036e-09  3.0959838e-09
     9 :  1.3043020e-32  3.7111062e-32 -2.5083110e-32
    10 : -1.3706564e-09 -3.4698963e-09  2.4154803e-09
    11 : -1.9335066e-36 -1.2476418e-36  1.5900815e-36
    12 : -4.5984027e+05 -2.5558877e+06  1.5569893e+06
    13 : -1.3078441e-05 -9.9981971e-06  1.1540498e-05
    14 :  7.2186186e-19  1.6759145e-18 -1.2019330e-18
    15 :  2.1225985e-07 -1.6178060e-08 -9.0844702e-08
    16 :  1.2850204e-38  4.0508618e-38 -2.6677233e-38
    17 :  4.0482625e-27  2.2425559e-26 -1.3209629e-26
    18 : -2.9906070e-11 -1.9570352e-10  1.1365702e-10
    19 : -6.6922349e-46 -3.2316824e-45  1.9499902e-45
    20 : -1.9941386e-25 -1.3310094e-25  1.6576500e-25
    21 : -1.7494735e-04 -2.0572063e-04  1.8949320e-04
    22 :  2.0766014e-05  1.0539535e-04 -6.3527333e-05
    23 :  2.6644631e-41  2.2491393e-41 -2.4546295e-41
    24 :  4.2379175e-11  1.5815848e-10 -9.9722933e-11
    25 :  8.6613007e-45  2.4160311e-44 -1.6419822e-44
    26 :  6.7214066e-10  1.4190432e-09 -1.0533420e-09
    27 :  1.2250466e-07 -3.0532191e-07  9.2717481e-08
    28 :  8.2545057e-08  1.7102285e-07 -1.2792332e-07
    29 :  5.1288255e-11  5.0615907e-11 -5.0891685e-11
    30 : -2.9133211e-08 -2.4290936e-08  2.6638514e-08
    31 :  3.2745119e-17  9.4743567e-17 -6.3718476e-17
    32 : -2.7116867e-37 -1.0977590e-36  6.8386654e-37
    33 : -1.8318473e-05 -7.0317447e-05  4.4282707e-05
    34 : -2.0517204e-46 -4.0664041e-46  3.0587991e-46
    35 : -1.1982181e-18 -7.2539818e-17  3.6819236e-17
    36 :  1.2533503e+04  1.4202671e+04 -1.3345849e+04
    37 :  2.0795336e-02  1.5565119e-01 -8.9476409e-02
    38 :  2.6267303e-06  1.8362535e-05 -1.0557831e-05
    39 :  3.0388034e-12 -3.4343021e-11  1.5599736e-11
